# Structure counts (7 data points):
# "Structure type" Count
Other 7770 
"Cubic diamond" 6497 
"Cubic diamond (1st neighbor)" 1173 
"Cubic diamond (2nd neighbor)" 560 
"Hexagonal diamond" 0 
"Hexagonal diamond (1st neighbor)" 0 
"Hexagonal diamond (2nd neighbor)" 0 
# Structure counts (7 data points):
# "Structure type" Count
Other 8473 
"Cubic diamond" 5880 
"Cubic diamond (1st neighbor)" 1046 
"Cubic diamond (2nd neighbor)" 592 
"Hexagonal diamond" 1 
"Hexagonal diamond (1st neighbor)" 3 
"Hexagonal diamond (2nd neighbor)" 5 
# Structure counts (7 data points):
# "Structure type" Count
Other 9062 
"Cubic diamond" 5278 
"Cubic diamond (1st neighbor)" 1067 
"Cubic diamond (2nd neighbor)" 593 
"Hexagonal diamond" 0 
"Hexagonal diamond (1st neighbor)" 0 
"Hexagonal diamond (2nd neighbor)" 0 
# Structure counts (7 data points):
# "Structure type" Count
Other 9298 
"Cubic diamond" 5031 
"Cubic diamond (1st neighbor)" 1074 
"Cubic diamond (2nd neighbor)" 597 
"Hexagonal diamond" 0 
"Hexagonal diamond (1st neighbor)" 0 
"Hexagonal diamond (2nd neighbor)" 0 
# Structure counts (7 data points):
# "Structure type" Count
Other 9617 
"Cubic diamond" 4742 
"Cubic diamond (1st neighbor)" 1024 
"Cubic diamond (2nd neighbor)" 617 
"Hexagonal diamond" 0 
"Hexagonal diamond (1st neighbor)" 0 
"Hexagonal diamond (2nd neighbor)" 0 
# Structure counts (7 data points):
# "Structure type" Count
Other 9664 
"Cubic diamond" 4793 
"Cubic diamond (1st neighbor)" 937 
"Cubic diamond (2nd neighbor)" 606 
"Hexagonal diamond" 0 
"Hexagonal diamond (1st neighbor)" 0 
"Hexagonal diamond (2nd neighbor)" 0 
# Structure counts (7 data points):
# "Structure type" Count
Other 9665 
"Cubic diamond" 4747 
"Cubic diamond (1st neighbor)" 984 
"Cubic diamond (2nd neighbor)" 596 
"Hexagonal diamond" 1 
"Hexagonal diamond (1st neighbor)" 2 
"Hexagonal diamond (2nd neighbor)" 5 
# Structure counts (7 data points):
# "Structure type" Count
Other 9777 
"Cubic diamond" 4747 
"Cubic diamond (1st neighbor)" 903 
"Cubic diamond (2nd neighbor)" 573 
"Hexagonal diamond" 0 
"Hexagonal diamond (1st neighbor)" 0 
"Hexagonal diamond (2nd neighbor)" 0 
# Structure counts (7 data points):
# "Structure type" Count
Other 9818 
"Cubic diamond" 4637 
"Cubic diamond (1st neighbor)" 951 
"Cubic diamond (2nd neighbor)" 586 
"Hexagonal diamond" 1 
"Hexagonal diamond (1st neighbor)" 3 
"Hexagonal diamond (2nd neighbor)" 4 
# Structure counts (7 data points):
# "Structure type" Count
Other 9869 
"Cubic diamond" 4616 
"Cubic diamond (1st neighbor)" 942 
"Cubic diamond (2nd neighbor)" 573 
"Hexagonal diamond" 0 
"Hexagonal diamond (1st neighbor)" 0 
"Hexagonal diamond (2nd neighbor)" 0 
# Structure counts (7 data points):
# "Structure type" Count
Other 10015 
"Cubic diamond" 4428 
"Cubic diamond (1st neighbor)" 940 
"Cubic diamond (2nd neighbor)" 617 
"Hexagonal diamond" 0 
"Hexagonal diamond (1st neighbor)" 0 
"Hexagonal diamond (2nd neighbor)" 0 
# Structure counts (7 data points):
# "Structure type" Count
Other 10065 
"Cubic diamond" 4292 
"Cubic diamond (1st neighbor)" 1004 
"Cubic diamond (2nd neighbor)" 639 
"Hexagonal diamond" 0 
"Hexagonal diamond (1st neighbor)" 0 
"Hexagonal diamond (2nd neighbor)" 0 
# Structure counts (7 data points):
# "Structure type" Count
Other 10856 
"Cubic diamond" 3339 
"Cubic diamond (1st neighbor)" 1070 
"Cubic diamond (2nd neighbor)" 727 
"Hexagonal diamond" 1 
"Hexagonal diamond (1st neighbor)" 2 
"Hexagonal diamond (2nd neighbor)" 5 
# Structure counts (7 data points):
# "Structure type" Count
Other 16000 
"Cubic diamond" 0 
"Cubic diamond (1st neighbor)" 0 
"Cubic diamond (2nd neighbor)" 0 
"Hexagonal diamond" 0 
"Hexagonal diamond (1st neighbor)" 0 
"Hexagonal diamond (2nd neighbor)" 0 
# Structure counts (7 data points):
# "Structure type" Count
Other 16000 
"Cubic diamond" 0 
"Cubic diamond (1st neighbor)" 0 
"Cubic diamond (2nd neighbor)" 0 
"Hexagonal diamond" 0 
