# Structure counts (9 data points):
# "Structure type" Count
Other 3424 
FCC 0 
HCP 0 
BCC 0 
"Simple cubic" 2041 
"Cubic diamond" 2535 
# Structure counts (9 data points):
# "Structure type" Count
Other 1644 
FCC 0 
HCP 0 
BCC 0 
"Simple cubic" 2703 
"Cubic diamond" 3653 
# Structure counts (9 data points):
# "Structure type" Count
Other 1188 
FCC 0 
HCP 0 
BCC 0 
"Simple cubic" 2192 
"Cubic diamond" 4620 
# Structure counts (9 data points):
# "Structure type" Count
Other 1047 
FCC 0 
HCP 0 
BCC 0 
"Simple cubic" 1481 
"Cubic diamond" 5472 
# Structure counts (9 data points):
# "Structure type" Count
Other 569 
FCC 0 
HCP 0 
BCC 0 
"Simple cubic" 345 
"Cubic diamond" 7086 
# Structure counts (9 data points):
# "Structure type" Count
Other 154 
FCC 0 
HCP 0 
BCC 0 
"Simple cubic" 3 
"Cubic diamond" 7843 
# Structure counts (9 data points):
# "Structure type" Count
Other 135 
FCC 0 
HCP 0 
BCC 0 
"Simple cubic" 1 
"Cubic diamond" 7864 
# Structure counts (9 data points):
# "Structure type" Count
Other 112 
FCC 0 
HCP 0 
BCC 0 
"Simple cubic" 3 
"Cubic diamond" 7885 
# Structure counts (9 data points):
# "Structure type" Count
Other 107 
FCC 0 
HCP 0 
BCC 0 
"Simple cubic" 4 
"Cubic diamond" 7889 
# Structure counts (9 data points):
# "Structure type" Count
Other 120 
FCC 0 
HCP 0 
BCC 0 
"Simple cubic" 4 
"Cubic diamond" 7876 
# Structure counts (9 data points):
# "Structure type" Count
Other 119 
FCC 0 
HCP 0 
BCC 0 
"Simple cubic" 4 
"Cubic diamond" 7877 
