# Structure counts (9 data points):
# "Structure type" Count
Other 3959 
FCC 0 
HCP 0 
BCC 0 
"Simple cubic" 3054 
"Cubic diamond" 987 
# Structure counts (9 data points):
# "Structure type" Count
Other 2300 
FCC 0 
HCP 0 
BCC 0 
"Simple cubic" 3307 
"Cubic diamond" 2393 
# Structure counts (9 data points):
# "Structure type" Count
Other 1414 
FCC 0 
HCP 0 
BCC 0 
"Simple cubic" 1267 
"Cubic diamond" 5319 
# Structure counts (9 data points):
# "Structure type" Count
Other 292 
FCC 0 
HCP 0 
BCC 0 
"Simple cubic" 5 
"Cubic diamond" 7703 
# Structure counts (9 data points):
# "Structure type" Count
Other 184 
FCC 0 
HCP 0 
BCC 0 
"Simple cubic" 9 
"Cubic diamond" 7807 
# Structure counts (9 data points):
# "Structure type" Count
Other 196 
FCC 0 
HCP 0 
BCC 0 
"Simple cubic" 5 
"Cubic diamond" 7799 
# Structure counts (9 data points):
# "Structure type" Count
Other 191 
FCC 0 
HCP 0 
BCC 0 
"Simple cubic" 6 
"Cubic diamond" 7803 
# Structure counts (9 data points):
# "Structure type" Count
Other 182 
FCC 0 
HCP 0 
BCC 0 
"Simple cubic" 7 
"Cubic diamond" 7811 
# Structure counts (9 data points):
# "Structure type" Count
Other 194 
FCC 0 
HCP 0 
BCC 0 
"Simple cubic" 6 
"Cubic diamond" 7800 
# Structure counts (9 data points):
# "Structure type" Count
Other 202 
FCC 0 
HCP 0 
BCC 0 
"Simple cubic" 5 
"Cubic diamond" 7793 
# Structure counts (9 data points):
# "Structure type" Count
Other 193 
FCC 0 
HCP 0 
BCC 0 
"Simple cubic" 8 
"Cubic diamond" 7799 
