# Unity (10 data points):
# Unity Count
0.05 39 
0.15 99 
0.25 192 
0.35 134 
0.45 126 
0.55 149 
0.65 58 
0.75 36 
0.85 98 
0.95 69 
# Unity (10 data points):
# Unity Count
0.05 33 
0.15 113 
0.25 173 
0.35 135 
0.45 131 
0.55 159 
0.65 49 
0.75 46 
0.85 87 
0.95 74 
# Unity (10 data points):
# Unity Count
0.05 43 
0.15 102 
0.25 178 
0.35 133 
0.45 133 
0.55 153 
0.65 61 
0.75 40 
0.85 84 
0.95 73 
# Unity (10 data points):
# Unity Count
0.05 44 
0.15 101 
0.25 171 
0.35 147 
0.45 120 
0.55 164 
0.65 52 
0.75 46 
0.85 84 
0.95 71 
# Unity (10 data points):
# Unity Count
0.05 37 
0.15 111 
0.25 170 
0.35 140 
0.45 129 
0.55 160 
0.65 53 
0.75 45 
0.85 80 
0.95 75 
# Unity (10 data points):
# Unity Count
0.05 51 
0.15 106 
0.25 151 
0.35 161 
0.45 116 
0.55 144 
0.65 67 
0.75 46 
0.85 75 
0.95 83 
# Unity (10 data points):
# Unity Count
0.05 48 
0.15 111 
0.25 147 
0.35 147 
0.45 126 
0.55 159 
0.65 57 
0.75 42 
0.85 87 
0.95 76 
# Unity (10 data points):
# Unity Count
0.05 41 
0.15 89 
0.25 193 
0.35 131 
0.45 144 
0.55 153 
0.65 54 
0.75 38 
0.85 75 
0.95 82 
# Unity (10 data points):
# Unity Count
0.05 47 
0.15 98 
0.25 164 
0.35 138 
0.45 144 
0.55 164 
0.65 51 
0.75 40 
0.85 74 
0.95 80 
# Unity (10 data points):
# Unity Count
0.05 45 
0.15 114 
0.25 165 
0.35 129 
0.45 112 
0.55 175 
0.65 55 
0.75 44 
0.85 87 
0.95 74 
# Unity (10 data points):
# Unity Count
0.05 32 
0.15 109 
0.25 179 
0.35 150 
0.45 119 
0.55 149 
0.65 62 
0.75 49 
0.85 71 
0.95 80 
# Unity (10 data points):
# Unity Count
0.05 38 
0.15 102 
0.25 172 
0.35 147 
0.45 124 
0.55 155 
0.65 64 
0.75 42 
0.85 83 
0.95 73 
# Unity (10 data points):
# Unity Count
0.05 48 
0.15 101 
0.25 161 
0.35 153 
0.45 130 
0.55 147 
0.65 66 
0.75 43 
0.85 77 
0.95 74 
# Unity (10 data points):
# Unity Count
0.05 48 
0.15 99 
0.25 158 
0.35 160 
0.45 125 
0.55 166 
0.65 46 
0.75 44 
0.85 81 
0.95 73 
# Unity (10 data points):
# Unity Count
0.05 41 
0.15 98 
0.25 177 
0.35 149 
0.45 123 
0.55 156 
0.65 56 
0.75 41 
0.85 78 
0.95 81 
# Unity (10 data points):
# Unity Count
0.05 55 
0.15 96 
0.25 149 
0.35 163 
0.45 125 
0.55 152 
0.65 61 
0.75 43 
0.85 76 
0.95 80 
# Unity (10 data points):
# Unity Count
0.05 44 
0.15 103 
0.25 163 
0.35 157 
0.45 126 
0.55 149 
0.65 45 
0.75 49 
0.85 87 
0.95 77 
# Unity (10 data points):
# Unity Count
0.05 36 
0.15 105 
0.25 179 
0.35 150 
0.45 130 
0.55 139 
0.65 57 
0.75 51 
0.85 75 
0.95 78 
# Unity (10 data points):
# Unity Count
0.05 45 
0.15 92 
0.25 172 
0.35 159 
0.45 120 
0.55 148 
0.65 53 
0.75 48 
0.85 97 
0.95 66 
# Unity (10 data points):
# Unity Count
0.05 61 
0.15 84 
0.25 179 
0.35 132 
0.45 124 
0.55 161 
0.65 54 
0.75 46 
0.85 84 
0.95 75 
# Unity (10 data points):
# Unity Count
0.05 41 
0.15 109 
0.25 176 
0.35 149 
0.45 116 
0.55 133 
0.65 72 
0.75 40 
0.85 92 
0.95 72 
# Unity (10 data points):
# Unity Count
0.05 40 
0.15 123 
0.25 174 
0.35 120 
0.45 122 
0.55 162 
0.65 56 
0.75 45 
0.85 81 
0.95 77 
# Unity (10 data points):
# Unity Count
