# Unity (10 data points):
# Unity Count
0.05 50 
0.15 125 
0.25 181 
0.35 136 
0.45 107 
0.55 125 
0.65 45 
0.75 45 
0.85 113 
0.95 73 
# Unity (10 data points):
# Unity Count
0.05 51 
0.15 130 
0.25 184 
0.35 120 
0.45 106 
0.55 127 
0.65 50 
0.75 46 
0.85 110 
0.95 76 
# Unity (10 data points):
# Unity Count
0.05 50 
0.15 139 
0.25 178 
0.35 120 
0.45 101 
0.55 139 
0.65 53 
0.75 36 
0.85 107 
0.95 77 
# Unity (10 data points):
# Unity Count
0.05 54 
0.15 130 
0.25 168 
0.35 144 
0.45 106 
0.55 111 
0.65 46 
0.75 65 
0.85 111 
0.95 65 
# Unity (10 data points):
# Unity Count
0.05 57 
0.15 115 
0.25 175 
0.35 141 
0.45 103 
0.55 130 
0.65 52 
0.75 47 
0.85 107 
0.95 73 
# Unity (10 data points):
# Unity Count
0.05 53 
0.15 130 
0.25 161 
0.35 141 
0.45 113 
0.55 122 
0.65 57 
0.75 36 
0.85 113 
0.95 74 
# Unity (10 data points):
# Unity Count
0.05 47 
0.15 130 
0.25 170 
0.35 137 
0.45 117 
0.55 120 
0.65 57 
0.75 41 
0.85 109 
0.95 72 
# Unity (10 data points):
# Unity Count
0.05 45 
0.15 124 
0.25 204 
0.35 134 
0.45 98 
0.55 117 
0.65 43 
0.75 60 
0.85 101 
0.95 74 
# Unity (10 data points):
# Unity Count
0.05 51 
0.15 125 
0.25 173 
0.35 154 
0.45 112 
0.55 100 
0.65 59 
0.75 47 
0.85 99 
0.95 80 
# Unity (10 data points):
# Unity Count
0.05 66 
0.15 98 
0.25 190 
0.35 144 
0.45 106 
0.55 119 
0.65 48 
0.75 50 
0.85 101 
0.95 78 
# Unity (10 data points):
# Unity Count
0.05 56 
0.15 127 
0.25 183 
0.35 125 
0.45 102 
0.55 124 
0.65 57 
0.75 57 
0.85 97 
0.95 72 
# Unity (10 data points):
# Unity Count
0.05 55 
0.15 114 
0.25 183 
0.35 158 
0.45 92 
0.55 118 
0.65 53 
0.75 59 
0.85 87 
0.95 81 
# Unity (10 data points):
# Unity Count
0.05 55 
0.15 118 
0.25 195 
0.35 136 
0.45 91 
0.55 130 
0.65 43 
0.75 41 
0.85 120 
0.95 71 
# Unity (10 data points):
# Unity Count
0.05 59 
0.15 137 
0.25 160 
0.35 133 
0.45 103 
0.55 132 
0.65 51 
0.75 39 
0.85 106 
0.95 80 
# Unity (10 data points):
# Unity Count
0.05 53 
0.15 126 
0.25 180 
0.35 144 
0.45 105 
0.55 110 
0.65 56 
0.75 43 
0.85 111 
0.95 72 
# Unity (10 data points):
# Unity Count
0.05 55 
0.15 116 
0.25 183 
0.35 134 
0.45 120 
0.55 106 
0.65 60 
0.75 45 
0.85 116 
0.95 65 
# Unity (10 data points):
# Unity Count
0.05 53 
0.15 125 
0.25 180 
0.35 139 
0.45 102 
0.55 120 
0.65 50 
0.75 53 
0.85 111 
0.95 67 
# Unity (10 data points):
# Unity Count
0.05 55 
0.15 131 
0.25 166 
0.35 139 
0.45 97 
0.55 128 
0.65 49 
0.75 58 
0.85 107 
0.95 70 
# Unity (10 data points):
# Unity Count
