# Structure counts (9 data points):
# "Structure type" Count
Other 7664 
"Simple cubic" 8336 
# Structure counts (9 data points):
# "Structure type" Count
Other 7979 
"Simple cubic" 8021 
# Structure counts (9 data points):
# "Structure type" Count
Other 8081 
"Simple cubic" 7919 
# Structure counts (9 data points):
# "Structure type" Count
Other 8149 
"Simple cubic" 7851 
# Structure counts (9 data points):
# "Structure type" Count
Other 8043 
"Simple cubic" 7957 
# Structure counts (9 data points):
# "Structure type" Count
Other 7962 
"Simple cubic" 8038 
# Structure counts (9 data points):
# "Structure type" Count
Other 7891 
"Simple cubic" 8109 
# Structure counts (9 data points):
# "Structure type" Count
Other 8083 
"Simple cubic" 7917 
# Structure counts (9 data points):
# "Structure type" Count
Other 8122 
"Simple cubic" 7878 
# Structure counts (9 data points):
# "Structure type" Count
Other 8092 
"Simple cubic" 7908 
# Structure counts (9 data points):
# "Structure type" Count
Other 8070 
"Simple cubic" 7930 
# Structure counts (9 data points):
# "Structure type" Count
Other 8201 
"Simple cubic" 7799 
# Structure counts (9 data points):
# "Structure type" Count
Other 8193 
"Simple cubic" 7807 
# Structure counts (9 data points):
# "Structure type" Count
Other 8136 
"Simple cubic" 7864 
# Structure counts (9 data points):
# "Structure type" Count
Other 7976 
"Simple cubic" 8024 
# Structure counts (9 data points):
# "Structure type" Count
Other 8153 
"Simple cubic" 7847 
# Structure counts (9 data points):
# "Structure type" Count
Other 8130 
"Simple cubic" 7870 
# Structure counts (9 data points):
# "Structure type" Count
Other 8028 
"Simple cubic" 7972 
# Structure counts (9 data points):
# "Structure type" Count
Other 8191 
"Simple cubic" 7809 
# Structure counts (9 data points):
# "Structure type" Count
Other 7967 
"Simple cubic" 8033 
# Structure counts (9 data points):
# "Structure type" Count
Other 7837 
"Simple cubic" 8163 
# Structure counts (9 data points):
# "Structure type" Count
Other 8024 
"Simple cubic" 7976 
# Structure counts (9 data points):
# "Structure type" Count
Other 7995 
"Simple cubic" 8005 
# Structure counts (9 data points):
# "Structure type" Count
Other 7927 
"Simple cubic" 8073 
# Structure counts (9 data points):
# "Structure type" Count
Other 7939 
"Simple cubic" 8061 
# Structure counts (9 data points):
# "Structure type" Count
Other 7994 
"Simple cubic" 8006 
# Structure counts (9 data points):
# "Structure type" Count
Other 8018 
"Simple cubic" 7982 
# Structure counts (9 data points):
# "Structure type" Count
Other 8008 
"Simple cubic" 7992 
# Structure counts (9 data points):
# "Structure type" Count
Other 8004 
"Simple cubic" 7996 
# Structure counts (9 data points):
# "Structure type" Count
Other 8096 
"Simple cubic" 7904 
# Structure counts (9 data points):
# "Structure type" Count
Other 8046 
"Simple cubic" 7954 
# Structure counts (9 data points):
# "Structure type" Count
Other 8029 
"Simple cubic" 7971 
# Structure counts (9 data points):
# "Structure type" Count
Other 7952 
"Simple cubic" 8048 
# Structure counts (9 data points):
# "Structure type" Count
Other 7884 
"Simple cubic" 8116 
# Structure counts (9 data points):
# "Structure type" Count
Other 7856 
"Simple cubic" 8144 
# Structure counts (9 data points):
# "Structure type" Count
Other 7942 
"Simple cubic" 8058 
# Structure counts (9 data points):
# "Structure type" Count
Other 8004 
"Simple cubic" 7996 
# Structure counts (9 data points):
# "Structure type" Count
Other 7986 
"Simple cubic" 8014 
# Structure counts (9 data points):
# "Structure type" Count
Other 7933 
"Simple cubic" 8067 
# Structure counts (9 data points):
# "Structure type" Count
Other 7944 
"Simple cubic" 8056 
# Structure counts (9 data points):
# "Structure type" Count
Other 7964 
"Simple cubic" 8036 
# Structure counts (9 data points):
# "Structure type" Count
Other 7889 
"Simple cubic" 8111 
# Structure counts (9 data points):
# "Structure type" Count
Other 7967 
"Simple cubic" 8033 
# Structure counts (9 data points):
# "Structure type" Count
Other 7896 
"Simple cubic" 8104 
# Structure counts (9 data points):
# "Structure type" Count
Other 7836 
"Simple cubic" 8164 
# Structure counts (9 data points):
# "Structure type" Count
Other 7863 
"Simple cubic" 8137 
# Structure counts (9 data points):
# "Structure type" Count
Other 7884 
"Simple cubic" 8116 
# Structure counts (9 data points):
# "Structure type" Count
Other 7911 
"Simple cubic" 8089 
# Structure counts (9 data points):
# "Structure type" Count
Other 7831 
"Simple cubic" 8169 
# Structure counts (9 data points):
# "Structure type" Count
Other 7832 
"Simple cubic" 8168 
# Structure counts (9 data points):
# "Structure type" Count
Other 7911 
"Simple cubic" 8089 
# Structure counts (9 data points):
# "Structure type" Count
Other 7889 
"Simple cubic" 8111 
# Structure counts (9 data points):
# "Structure type" Count
Other 7763 
"Simple cubic" 8237 
# Structure counts (9 data points):
# "Structure type" Count
Other 7798 
"Simple cubic" 8202 
# Structure counts (9 data points):
# "Structure type" Count
Other 7935 
"Simple cubic" 8065 
# Structure counts (9 data points):
