# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 6170 
"Cubic Diamond Outside Carbon Clusters" 6170 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 6133 
"Cubic Diamond Outside Carbon Clusters" 6133 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 6169 
"Cubic Diamond Outside Carbon Clusters" 6169 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 6175 
"Cubic Diamond Outside Carbon Clusters" 6175 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 6131 
"Cubic Diamond Outside Carbon Clusters" 6131 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 6118 
"Cubic Diamond Outside Carbon Clusters" 6118 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 6116 
"Cubic Diamond Outside Carbon Clusters" 6116 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 6139 
"Cubic Diamond Outside Carbon Clusters" 6139 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 6108 
"Cubic Diamond Outside Carbon Clusters" 6108 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 6121 
"Cubic Diamond Outside Carbon Clusters" 6121 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 6135 
"Cubic Diamond Outside Carbon Clusters" 6135 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 6162 
"Cubic Diamond Outside Carbon Clusters" 6162 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 6145 
"Cubic Diamond Outside Carbon Clusters" 6145 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 6144 
"Cubic Diamond Outside Carbon Clusters" 6144 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 6148 
"Cubic Diamond Outside Carbon Clusters" 6148 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 6158 
"Cubic Diamond Outside Carbon Clusters" 6158 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 6163 
"Cubic Diamond Outside Carbon Clusters" 6163 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 6156 
"Cubic Diamond Outside Carbon Clusters" 6156 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 6172 
"Cubic Diamond Outside Carbon Clusters" 6172 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 6176 
"Cubic Diamond Outside Carbon Clusters" 6176 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 6151 
"Cubic Diamond Outside Carbon Clusters" 6151 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 6170 
"Cubic Diamond Outside Carbon Clusters" 6170 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 6176 
"Cubic Diamond Outside Carbon Clusters" 6176 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 6179 
"Cubic Diamond Outside Carbon Clusters" 6179 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 6195 
"Cubic Diamond Outside Carbon Clusters" 6195 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 6168 
"Cubic Diamond Outside Carbon Clusters" 6168 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 6158 
"Cubic Diamond Outside Carbon Clusters" 6158 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 6201 
"Cubic Diamond Outside Carbon Clusters" 6201 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 6191 
"Cubic Diamond Outside Carbon Clusters" 6191 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 6175 
"Cubic Diamond Outside Carbon Clusters" 6175 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 6201 
"Cubic Diamond Outside Carbon Clusters" 6201 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 6203 
"Cubic Diamond Outside Carbon Clusters" 6203 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 6183 
"Cubic Diamond Outside Carbon Clusters" 6183 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 6216 
"Cubic Diamond Outside Carbon Clusters" 6216 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 6234 
"Cubic Diamond Outside Carbon Clusters" 6234 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 6225 
"Cubic Diamond Outside Carbon Clusters" 6225 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 6238 
"Cubic Diamond Outside Carbon Clusters" 6238 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 6224 
"Cubic Diamond Outside Carbon Clusters" 6224 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 6240 
"Cubic Diamond Outside Carbon Clusters" 6240 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 6234 
"Cubic Diamond Outside Carbon Clusters" 6234 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 6235 
"Cubic Diamond Outside Carbon Clusters" 6235 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 6226 
"Cubic Diamond Outside Carbon Clusters" 6226 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 6265 
"Cubic Diamond Outside Carbon Clusters" 6265 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 6237 
"Cubic Diamond Outside Carbon Clusters" 6237 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 6244 
"Cubic Diamond Outside Carbon Clusters" 6244 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 6238 
"Cubic Diamond Outside Carbon Clusters" 6238 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 6267 
"Cubic Diamond Outside Carbon Clusters" 6267 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
