# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 64000 
"Cubic Diamond Outside Carbon Clusters" 64000 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 61655 
"Cubic Diamond Outside Carbon Clusters" 61655 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 61455 
"Cubic Diamond Outside Carbon Clusters" 61455 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 61486 
"Cubic Diamond Outside Carbon Clusters" 61486 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 61583 
"Cubic Diamond Outside Carbon Clusters" 61583 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 61403 
"Cubic Diamond Outside Carbon Clusters" 61403 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 61710 
"Cubic Diamond Outside Carbon Clusters" 61710 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 61582 
"Cubic Diamond Outside Carbon Clusters" 61582 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 61656 
"Cubic Diamond Outside Carbon Clusters" 61656 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 61370 
"Cubic Diamond Outside Carbon Clusters" 61370 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 61552 
"Cubic Diamond Outside Carbon Clusters" 61552 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 61471 
"Cubic Diamond Outside Carbon Clusters" 61471 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 61525 
"Cubic Diamond Outside Carbon Clusters" 61525 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 61501 
"Cubic Diamond Outside Carbon Clusters" 61501 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 61643 
"Cubic Diamond Outside Carbon Clusters" 61643 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 61492 
"Cubic Diamond Outside Carbon Clusters" 61492 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 61468 
"Cubic Diamond Outside Carbon Clusters" 61468 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 61284 
"Cubic Diamond Outside Carbon Clusters" 61284 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 61557 
"Cubic Diamond Outside Carbon Clusters" 61557 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 61568 
"Cubic Diamond Outside Carbon Clusters" 61568 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 61578 
"Cubic Diamond Outside Carbon Clusters" 61578 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 61500 
"Cubic Diamond Outside Carbon Clusters" 61500 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 61284 
"Cubic Diamond Outside Carbon Clusters" 61284 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 61489 
"Cubic Diamond Outside Carbon Clusters" 61489 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 61565 
"Cubic Diamond Outside Carbon Clusters" 61565 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 61436 
"Cubic Diamond Outside Carbon Clusters" 61436 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 61455 
"Cubic Diamond Outside Carbon Clusters" 61455 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 61491 
"Cubic Diamond Outside Carbon Clusters" 61491 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 61453 
"Cubic Diamond Outside Carbon Clusters" 61453 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 61514 
"Cubic Diamond Outside Carbon Clusters" 61514 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 61594 
"Cubic Diamond Outside Carbon Clusters" 61594 
# Count Diamond-like Atoms Outside Carbon Clusters (2 data points):
# "Structure Type" Count
"Cubic Diamond" 61729 
