# time(ps) MSD_C MSD_Si
0 3.7101497835075645946e-24 5.3800376844945426483e-25
0.5 0.31767544628072080792 0.3174654957512689224
1 1.1506405397996686268 1.0557325894780171804
1.5 2.792094205085452252 2.080528248062705643
2 14.142748502415578571 10.532019378527845532
2.5 38.288236501183973814 30.738670702785622524
3 60.339175738237024404 50.40524166579618992
3.5 81.597400534188437859 69.608603350771645069
4 102.64352197799773592 88.863961301969169426
4.5 124.0412723541308111 108.66544246939592711
5 146.25407563663961241 127.71023241633739076
5 146.25407563663961241 127.71023241633700707
5.5 168.02320197447110672 147.04681638822444256
6 190.0978950533563534 167.07135398353500477
6.5 212.46069452236250186 187.54950669188008305
7 233.50198976012381991 207.36213170690041352
7.5 255.30084734307354211 226.6252041325657558
8 278.08235835605728425 247.85305274840240486
8.5 299.93126040955371536 267.0219826461226944
9 321.29124712199961778 286.47443501394616305
9.5 343.16668318548562411 306.01527615389562698
10 366.18539217096855509 326.13097868673571611
10.5 388.49038996142593305 344.71952249486764686
11 409.90576504361513344 363.92628022668174026
11.5 431.50883555322582197 383.48730199753066472
12 454.37702825158390851 403.29526170535734764
12.5 474.88699223681794592 422.19799626553026428
13 497.02215877256173826 442.39653567698331926
13.5 518.84496794604024217 462.7794526397162258
14 540.82991652589089426 482.79906170421674005
14.5 560.15998111680278271 500.94107033814697161
15 582.08444314504606609 520.91237869591191156
15.5 603.76720534076309832 540.58280773267529185
16 625.48930918122994171 561.07368707918385553
16.5 648.55295634985611741 581.67126879607678802
17 669.34599422344672348 601.49331957815206806
17.5 691.30494155032238268 621.24938922822354925
18 714.47870773740214645 642.11840978402995006
18.5 735.68920336398480231 662.61909484365810385
19 757.6366056158739184 682.57938754387271274
19.5 782.91215986573649843 705.2028663809057889
20 804.20910886792057681 725.28554654694414694
20.5 827.84373928240427176 745.849959433840354
21 851.10041939003917832 767.62944567191323131
21.5 872.50963517960133231 786.8307201448366186
22 896.9354168332200743 806.96189318277674829
22.5 919.89964018834427861 827.22955242091165928
23 945.13381482245824827 849.94999452361332715
23.5 967.10988134609158351 869.51072420156879161
24 985.90063476879288373 886.6379465100417292
24.5 1005.710028683528094 905.27091005045360816
25 1026.73869144342666 924.58825471507111615
25.5 1047.6461466084431322 943.64768642548256139
26 1068.4394339931725426 964.03702624867753457
26.5 1089.5465290302677204 982.71803605400407378
27 1111.9690603903004558 1002.2398834620508978
27.5 1132.3443933820144593 1019.2857639627147819
28 1152.4959149162132235 1037.5788949454647536
28.5 1175.6247549765937492 1058.7478032022513617
29 1193.6823685237732207 1076.2375544143737898
29.5 1213.8124986267757777 1096.826584902601553
30 1235.9379220484599955 1116.8460774524492081
30.5 1257.1400814929343142 1136.532302931754657
31 1280.5329409333623971 1157.9943241203363868
31.5 1303.0295013075829047 1178.1903756970980339
32 1326.9583085794474755 1198.054651835901268
32.5 1349.2844739636457234 1219.0651921557280275
33 1370.6646746720609826 1238.9717874774562461
33.5 1391.7605834701682852 1260.9642110663498897
34 1416.4496741467753509 1283.9223074403612372
34.5 1440.1653430154397029 1305.7380619983709948
35 1462.4314508126108194 1326.1118495938007982
35.5 1483.2329461423159955 1346.7143541997977536
36 1506.2339523646021462 1365.4125786522245107
36.5 1531.377910571072789 1388.1596947202599495
37 1556.1855388615201718 1409.9670300129575935
37.5 1579.4236540229869661 1429.6060450859963566
38 1603.4083379755313672 1449.1544705284518386
38.5 1627.6624314333414532 1470.9961601418965529
39 1652.4572924821293327 1491.0903717085250264
39.5 1673.0597376205339515 1510.1097315670938315
40 1694.7493351937075658 1532.2792299102843572
40.5 1714.8218223158357887 1550.9829880875799972
41 1736.6707264360613863 1571.7962182639362254
41.5 1759.4995574720358036 1592.1934471874210431
42 1783.3893534537558025 1614.481375835069457
42.5 1809.5556801376992553 1635.2929275545184282
