# time(ps) MSD_C MSD_Si
0 3.7101497835075645946e-24 5.3800376844945426483e-25
0.5 0.882772576811543086 0.88034710175608110738
1 0.71028105831813104221 0.68573480077192772164
1.5 0.71819861997990896985 0.65564051724293026524
2 0.77017891860860354658 0.6378323118354588539
2.5 0.88567996069730570152 0.65982861205142817607
3 1.0071041609605044798 0.64258028186420435013
3.5 1.3160883290743410345 0.75930515276348597986
4 1.7217381403336760037 0.859101875016985983
4.5 2.6452212680688322877 1.2423353487066486345
5 5.8411968260373923201 3.0266835962914133695
5 5.8411968260373896555 3.0266835962914164782
5.5 17.992106967289632991 11.695201893774680002
6 34.289817466868605322 24.191498962736059042
6.5 51.154148116106291866 37.430880142801001398
7 67.884390150632412997 51.061215059979801367
7.5 84.83532660476501519 64.848697627411439726
8 101.97950403371437744 79.053492942574948188
8.5 119.13731524710198073 92.857009917042091729
9 136.46281916797914846 106.65037437009715404
9.5 153.44774283730981779 119.97213700312643425
10 170.59267444764199695 133.71782657284714446
10.5 187.96400511244280551 147.35774170225494117
11 205.01750429477559123 161.67542668263888572
11.5 222.14711619412929622 175.030134075892704
12 239.51447461614901613 188.88676004090532956
12.5 257.61401730603756732 203.20716466415620971
13 275.34182857609113171 217.00243377611843698
13.5 292.31420380606863318 230.73045840602009093
14 309.0638181189172542 245.2088106172944606
14.5 325.4681867557503665 259.71263472381122028
15 342.87946773338268258 273.56243830878167955
15.5 360.90810030455702417 287.37567519101526159
16 377.2000320689809314 301.27788311103205388
16.5 393.6125233583624663 315.14177025610649707
17 411.21249126706788957 328.50832389628186547
17.5 428.81626434508075363 342.60577625766569554
18 445.48860974172197302 356.76821716355237868
18.5 463.12804500652947581 370.35084140921918561
19 479.86453790937088115 383.86658689318812776
19.5 495.95294241775519595 397.5248524999789197
20 513.46955923317057113 412.00910769694513647
20.5 529.57677910836332558 425.23531982834100518
21 547.65759025373881741 438.30147700646330122
21.5 564.27648287608724331 451.93377615497468014
22 580.86675818436901864 465.67480659575420532
22.5 598.19613651318138636 479.33975357214080759
23 616.62053741508668736 493.82544540227007701
23.5 635.86912844883352136 508.26033916999182338
24 653.86064813229268111 522.17562281609707497
24.5 669.91935854461053168 535.73530625405419414
25 687.1458747566908869 549.43429150707049757
25.5 705.2900587728310029 563.8801000275647084
26 720.94927793248382386 577.82379697198427948
26.5 737.5284097683102118 591.00901922726825433
27 754.52584875784771157 604.82216067090757861
27.5 772.43554859210098584 619.83072843188517709
28 789.76483588232588318 634.0624440753580302
28.5 807.66276439611112892 648.75047155616482542
29 824.25544293296547949 662.9172623085679561
29.5 843.66123525561579299 678.76916899043510512
30 859.42997357490969534 692.56882863190605804
30.5 875.54250158969023232 705.93254600444174685
31 891.27898769239652665 720.27440250396523425
31.5 909.00149591435206275 735.5257198830353218
32 923.81235750875089252 747.43657992008820656
32.5 941.88576136283347751 762.72380303224042564
33 959.96292744056972879 776.18984536859341006
33.5 977.19671194676027426 790.64824984483209391
34 993.9841113700489359 805.14604809822503739
34.5 1011.6859984473047689 818.9177358414893888
35 1025.8090958998334372 832.42504970515312834
35.5 1041.6879627975301901 845.82172051977568117
36 1061.6275279040119131 861.19197713649373327
36.5 1077.8221647813647905 873.60350209975058533
37 1096.3765402119197461 888.84571012217656971
37.5 1113.2111813398182676 901.66437383282868723
38 1129.820915029415346 915.28226687203095935
38.5 1147.1401207778485514 931.11186444070403923
39 1166.6015292239251266 946.41323838561061166
39.5 1185.2442743149204034 962.33660910180435621
40 1201.9697996030879494 976.76616810063717367
40.5 1218.1632025828378119 990.00912773887375806
41 1235.9502690932708902 1005.2140362705940788
41.5 1255.0854239930206404 1019.637766463917842
42 1273.5992188247860213 1033.7653544293568757
42.5 1290.1509958723629552 1048.2924812488020052
43 1308.4545774598341268 1062.0684226520813809
43.5 1327.0897288250816928 1078.2923281998241691
44 1345.0249169056528444 1092.8555433494348108
44.5 1363.5712934072616918 1108.1671248040129285
45 1380.1993372003526019 1122.9837033540500215
45.5 1393.5358396927822469 1134.6140090753860932
46 1414.9111923295085944 1150.9900135934735772
46.5 1432.9517821595206897 1165.3443101849554751
47 1450.0704658812360321 1179.8163107262200811
47.5 1470.2581258294828785 1195.669908128413681
48 1487.5711429740717904 1211.3849686854043739
48.5 1501.6419086441612762 1225.5201886013342119
49 1521.5886253992478032 1242.9551108616285546
49.5 1536.9757959964458678 1255.8887533291481304
50 1556.4025834086723989 1270.6576606072480899
50.5 1576.4610055233551975 1287.8815458143335491
51 1594.5227629365629127 1301.7076093198938906
51.5 1613.6542304503968808 1317.46422881278977
52 1631.7721019395626172 1331.7418220254419339
52.5 1647.8609488026356757 1345.5546221881509155
53 1666.6210685732580714 1360.9746493556451696
53.5 1686.1636427639664362 1377.4115647319401887
54 1703.0270635396561829 1391.7320154645626644
54.5 1718.629748723252078 1404.5565702218691513
55 1734.7712024708935132 1416.1782931684322193
55.5 1752.4267751828772361 1430.6945719028860822
56 1767.9531202850087084 1445.6008724653818263
56.5 1785.0900655279908733 1460.4176955188288503
57 1803.9344518828868331 1476.0586191545976362
57.5 1822.7738340606906604 1492.008954876436519
58 1841.6559007813038988 1506.6847866661344142
58.5 1860.8348155732298892 1523.2776570721252938
59 1877.5087280845884834 1537.4573796530962682
59.5 1892.8174806481895303 1550.9171203172622882
60 1910.8186465896376376 1564.8698561466469528
60.5 1928.1036747655109593 1579.2275678008484192
61 1947.4095833293158648 1595.4005381288661738
61.5 1966.2401228236769839 1607.285537918457976
62 1983.8960457389757721 1623.59155415580517
62.5 2005.7777473874225507 1641.1760086185877299
63 2023.9039425785929325 1655.7196102509756201
63.5 2041.6018743532683857 1671.3468624222973631
64 2058.2321053296814171 1685.7165953887351861
64.5 2078.7720145791445248 1702.1744626808151679
65 2093.6331245495325675 1716.8209928174496781
65.5 2108.5438528707350088 1731.6547325623212146
66 2122.6962033670406527 1743.6291280625737272
66.5 2142.269438626236024 1760.0105439870612827
67 2159.1812787444237074 1774.0772006366573805
67.5 2179.1432651126810924 1789.7388689028589397
68 2196.4366243260496958 1805.9490972285850603
68.5 2215.179917643916724 1822.3074858010177195
69 2233.661931338791419 1839.3219781970785789
69.5 2249.9761687315944982 1852.3634621437893202
70 2265.9964165903797948 1865.7239460772018447
70.5 2280.4194518816839263 1876.6882819647371434
71 2295.5548116067934643 1889.4555290118028097
71.5 2309.1671516082806193 1900.8916898529162154
72 2326.7484705229007886 1913.8194597968083599
72.5 2340.449792105868255 1925.2418016131859986
73 2356.1663834057867462 1938.5657423200998437
73.5 2378.4943028293946554 1957.7279560343151843
74 2394.2370092194760218 1968.6319658311585954
74.5 2410.0279464128002473 1982.2546901900282137
75 2429.8747992724574942 1999.8667857253597049
75.5 2442.5942692874405111 2011.6950280205655872
76 2459.8131852050723865 2027.3436883870506335
76.5 2475.5462280155757071 2041.4655358904203695
77 2491.8234748999311705 2054.8125856282445056
77.5 2506.3367539419273271 2069.3917278946769329
78 2525.8524485319412634 2084.7840570256162209
78.5 2543.597892973053149 2098.6314320390060857
79 2565.0072140347324421 2114.6467922889573856
79.5 2580.7603284301385429 2128.3645299094087022
80 2598.0191586187984285 2140.5810300261778139
80.5 2619.1453051353496448 2157.3645226421062944
81 2635.7066824887115217 2172.5319774466302079
81.5 2649.3295357980414337 2185.8280347688819347
82 2667.7403663769578088 2201.803569005121517
82.5 2686.610020870297376 2219.2024785916555629
83 2706.0102183825320026 2235.7862499443122033
83.5 2723.7355412286087812 2250.7137587053302923
84 2739.0613096419097019 2265.0102426197668137
84.5 2751.2659044087222355 2276.0735712900445833
85 2771.7244998220699017 2291.6054966085466731
85.5 2787.0202827237676502 2305.9736556332577493
86 2803.7777162647548721 2318.8418405583347521
86.5 2820.2772842687641059 2332.2326000167663551
87 2833.4272889732528711 2343.1275247539388147
87.5 2855.5279230664641545 2361.3838850562492553
88 2872.4829918064665435 2374.875728647662072
88.5 2885.7627588504560663 2385.1591155465193879
89 2902.3243610173817615 2399.846435099179871
89.5 2921.7800845457309151 2412.2307278442258394
90 2935.253378104445801 2425.3787300758790479
90.5 2953.5210385375817168 2441.6568790508918028
91 2977.1229374745098539 2456.9206951316682535
91.5 2993.5749229811322039 2470.0200318918955418
92 3012.6506403457151464 2483.3996609242080922
92.5 3034.6641161031129741 2499.4354719357138492
93 3051.7699572786359568 2513.2621149232231801
93.5 3069.9778030254628902 2526.2391400658216298
94 3089.3269019639528778 2541.697352511202098
94.5 3105.8284263837485923 2554.5048281234840033
95 3125.5682878531056303 2569.8226782477586312
95.5 3147.3633254698047494 2587.9816039816687407
96 3158.9113745710628791 2598.8006190242626872
96.5 3178.9883159804358002 2616.2865817282968237
97 3198.6572748393728034 2631.9293256766159175
97.5 3212.0775795486547395 2644.3057433723547547
98 3233.629074008184034 2662.3358343092950236
98.5 3254.2316057783250471 2677.7892526269070004
99 3271.9478342484767381 2693.3221543330155328
99.5 3291.4070544348014664 2709.4757279941409251
100 3306.7472877078103011 2719.4816651513401666
100.5 3317.899488972429026 2730.1881239957288017
101 3333.9737752334367542 2742.1888311613947735
101.5 3352.8652785780168415 2756.610043796109494
102 3365.6869005454482249 2765.8132224298033179
102.5 3388.118312402952597 2788.2065893608901206
103 3403.5227906873951724 2804.3576559283674214
103.5 3422.1508208396608097 2819.087532523637492
104 3444.9301602558048216 2839.1013432671011287
104.5 3458.4109517445285746 2850.9648996919918318
105 3477.4888490050329892 2864.5500174163280462
105.5 3497.5267547481071233 2882.3770510891390586
106 3510.9970671654996295 2894.1658760198502023
106.5 3526.585716174985464 2905.5655926083527447
107 3551.0744514404241272 2924.6823757140359703
107.5 3568.8682021359550163 2938.7315631430119538
108 3589.3076516169380739 2955.3922932178802512
108.5 3606.2750727747475139 2971.4000180489483682
109 3623.4145877810265119 2987.0721637775895942
109.5 3639.7893415027610899 2999.1662491907236472
110 3662.6859408082682421 3017.0528858093430244
110.5 3676.670188987617621 3029.6374804839806529
111 3697.0716326977599238 3050.0318346617555108
111.5 3715.3591143732019191 3065.4016355322387426
112 3730.1144912834415663 3076.9869105018524351
112.5 3741.2742703146896019 3088.9049669523160446
113 3759.2585999031139181 3104.9018345222116295
113.5 3779.5843399905716069 3124.3892402934588972
114 3790.2355717792634096 3131.6572867341615165
114.5 3801.890630034109563 3143.5661414156625142
115 3813.84584749689202 3152.412937203117508
115.5 3833.6132692541227698 3167.5492216098700737
116 3849.5238756824460324 3177.9618694926066382
116.5 3870.072567978810639 3195.1080139789291934
117 3885.8418089463048091 3208.8000983277847808
117.5 3900.9357258592972357 3221.6021118130829564
118 3915.7732797248372663 3233.2169373921319675
118.5 3934.4311142583551373 3251.5215157202528644
119 3950.6211963265350278 3266.2408768356235669
119.5 3966.0288642827508738 3278.8596877999252683
120 3978.6646763058874967 3290.2604417396132703
120.5 3995.2975571537695032 3305.43630963725127
121 4012.8037635543623765 3322.5393163191197345
121.5 4030.111103512912905 3339.0368778837246282
122 4053.2899823101224683 3358.4369124136219398
122.5 4070.2217373924959247 3372.724973846854482
123 4089.4168311664511748 3387.7512970120315003
123.5 4103.1297669481809862 3396.6765171752158494
124 4120.8461839131059605 3415.9414693539683867
124.5 4141.0007632686283614 3435.6224597745572282
125 4154.089178957859076 3447.4002824889566909
125.5 4171.219193669249762 3461.2717325116013853
126 4196.8912735351586889 3479.7083158558953073
126.5 4217.6903882206870549 3496.9936670738961766
127 4234.2919655347432126 3512.4432423902576375
127.5 4251.4260962335465592 3521.7554081255780147
128 4267.9603279787452266 3535.0128751509564609
128.5 4284.5378154359032123 3553.526098268064743
129 4296.2194241574134139 3564.4721944813609298
129.5 4317.6540835310188413 3581.4690911847492316
130 4335.171993945406939 3596.9586996336051925
130.5 4348.1163813778512122 3610.113544996535893
131 4361.4455425765172549 3624.7816804839167162
131.5 4387.0236311218550327 3643.3218591856953026
132 4399.5101105518133409 3651.7717556533148127
132.5 4419.5397389764775653 3667.8817919003781753
133 4442.1929560670523642 3685.3041878235867443
133.5 4459.3423402923626782 3701.6976916993930899
134 4474.0858135564603799 3713.9463192544922094
134.5 4493.7349101737781893 3727.2245813888007433
135 4511.365424534336853 3743.3822624805407031
135.5 4530.5150698456873215 3755.2429251544417639
136 4552.1441008423498715 3772.0553898044145171
136.5 4569.9371878912779721 3785.1756881461974444
137 4587.2467286462479024 3799.4029377789943283
137.5 4608.9367347924962814 3816.0768202768949777
138 4629.0343944608785023 3831.1102205353799945
138.5 4649.6316107675284002 3848.8551598670733256
139 4666.8375396057745093 3863.3692221761539258
139.5 4678.5893814063274476 3873.9945805885945447
140 4701.3379691103864388 3891.2759159157158138
140.5 4721.5104437412746847 3910.6005992844516186
141 4737.1157873020110856 3924.6438143792838673
141.5 4752.7905807666093096 3938.2604896667780849
142 4770.4982017741594973 3951.4529425417058519
142.5 4791.0313944230902052 3965.6165738157101259
143 4809.0327728732490868 3982.2485724165758256
143.5 4820.9379760808315041 3991.348652921550638
144 4836.1114251940116446 4003.1458678772723943
144.5 4856.2573227152479376 4024.5142953690160539
145 4868.8636949697756791 4037.3539184028622913
145.5 4882.6265957556406647 4046.9774110512980769
146 4899.5383082094849669 4060.4012745650256875
146.5 4923.6035941988793638 4080.0228732149384996
147 4942.7755267441243632 4093.9166948057895752
147.5 4962.9653061429817171 4112.6023815704993467
148 4977.4895182625959933 4124.5796785896873189
148.5 4996.0500473109204904 4137.7666977473782026
149 5010.2961303653082723 4150.1819375944523927
149.5 5038.3890356996707851 4171.2547640395923736
150 5049.6839765019576589 4178.9553510521682256
150.5 5070.7686433484841473 4195.8769062728597419
151 5092.1660821387922624 4214.5707620027269513
151.5 5111.5837097735393399 4230.8960798054367842
152 5126.6730298212678463 4241.5312155005731256
152.5 5144.1428433742003108 4253.5691502843092167
153 5151.5667180647151326 4262.0236175654936233
153.5 5171.686859833294875 4277.5656917103260639
154 5191.2970792710348178 4291.8003062252000746
154.5 5209.5463659680990531 4308.2354696063812298
155 5229.4971337126025901 4321.5376052546616847
155.5 5250.608848021986887 4335.3613047765993542
156 5270.2065364383479391 4350.2952533940442663
156.5 5284.2437853782557795 4358.2229292682086452
157 5300.7602220186181512 4370.4917331241022111
157.5 5311.9095748241597903 4378.5815427470270151
158 5333.4644254554496001 4395.5560697565351802
158.5 5346.3176781438050966 4406.6160470787108352
159 5371.7316727485895171 4424.5855890201537477
159.5 5392.9164958834016943 4441.4358708248473704
160 5410.0747629851639431 4455.259142741814685
160.5 5430.0950423574950037 4472.2628896518981492
161 5450.1891008798838811 4487.1678978679183274
161.5 5472.6566502370351373 4504.4349426922053681
162 5495.6902915119335375 4523.0036832565428995
162.5 5509.1741659092895134 4538.0755879975477001
163 5531.1883766083956289 4558.6080917728022541
163.5 5546.5723950758392675 4572.8413824520785056
164 5568.9012925796632771 4590.0016055424803199
164.5 5576.0399210728182879 4595.5714259853139083
165 5590.4055303186833044 4605.9147432376839788
165.5 5613.3590338632557177 4622.7799192392740224
166 5627.8194234529337336 4632.3375889973012818
166.5 5643.0190224161451624 4644.4974633689707844
167 5662.7810708168190104 4661.8063100718936766
167.5 5675.146299061893842 4673.9887222755414768
168 5695.0759302141459557 4685.7751389781751641
168.5 5720.373981962075959 4707.8689352377241448
169 5741.9820826389268404 4722.9806273344993315
169.5 5751.8123703268875033 4732.430611656608562
170 5764.0085490169285549 4743.7125828140951853
170.5 5778.8042188546342004 4756.4873487493814537
171 5794.5757705108708251 4768.7010555240358372
171.5 5810.7492709973121237 4781.7129551737343718
